question_id,p_at_1,p_at_5,rr,ap
1967,0.000,0.000,0.000,NaN
1968,1.000,0.400,0.000,NaN
1969,1.000,0.400,0.000,NaN
1970,0.000,0.400,0.000,NaN
1971,0.000,0.400,0.000,NaN
1973,0.000,0.200,0.000,NaN
1974,1.000,0.400,0.000,NaN
1975,1.000,0.200,0.000,NaN
1976,0.000,0.400,0.000,NaN
1977,0.000,0.000,0.000,NaN
1978,0.000,0.000,0.000,NaN
1979,0.000,0.000,0.000,NaN
1980,0.000,0.000,0.000,NaN
1981,0.000,0.400,0.000,NaN
1982,0.000,0.200,0.000,NaN
1983,0.000,0.400,0.000,NaN
1984,1.000,0.200,0.000,NaN
1985,0.000,0.400,0.000,NaN
1986,0.000,0.600,0.000,NaN
1989,0.000,0.000,0.000,NaN
1990,0.000,0.000,0.000,NaN
1991,0.000,0.000,0.000,NaN
1992,0.000,0.200,0.000,NaN
1993,0.000,0.000,0.000,NaN
1994,0.000,0.000,0.000,NaN
1995,1.000,0.200,0.000,NaN
1996,1.000,0.400,0.000,NaN
1997,0.000,0.000,0.000,NaN
1998,0.000,0.000,0.000,NaN
1999,0.000,0.000,0.000,NaN
2000,1.000,0.200,0.000,NaN
2001,1.000,0.400,0.000,NaN
2003,0.000,0.200,0.000,NaN
2004,0.000,0.200,0.000,NaN
2005,0.000,0.000,0.000,NaN
2007,0.000,0.200,0.000,NaN
2009,0.000,0.200,0.000,NaN
2010,0.000,0.200,0.000,NaN
2011,0.000,0.200,0.000,NaN
2012,0.000,0.200,0.000,NaN
2013,1.000,0.400,0.000,NaN
2015,0.000,0.400,0.000,NaN
2016,1.000,0.400,0.000,NaN
2017,0.000,0.000,0.000,NaN
2018,1.000,0.400,0.000,NaN
2019,0.000,0.200,0.000,NaN
2020,1.000,0.600,0.000,NaN
2021,1.000,0.800,0.000,NaN
2022,1.000,0.400,0.000,NaN
2023,0.000,0.200,0.000,NaN
2025,0.000,0.000,0.000,NaN
2026,0.000,0.200,0.000,NaN
2027,0.000,0.000,0.000,NaN
2028,0.000,0.000,0.000,NaN
2029,1.000,0.200,0.000,NaN
2030,0.000,0.000,0.000,NaN
2031,0.000,0.000,0.000,NaN
2032,1.000,0.600,0.000,NaN
2033,1.000,0.400,0.000,NaN
2035,1.000,0.400,0.000,NaN
2036,0.000,0.200,0.000,NaN
2037,0.000,0.000,0.000,NaN
2038,1.000,0.400,0.000,NaN
2039,0.000,0.000,0.000,NaN
2040,0.000,0.200,0.000,NaN
2043,0.000,0.000,0.000,NaN
2044,0.000,0.800,0.000,NaN
2045,0.000,0.000,0.000,NaN
2047,1.000,0.200,0.000,NaN
2048,1.000,0.600,0.000,NaN
2049,0.000,0.000,0.000,NaN
2050,0.000,0.200,0.000,NaN
2051,0.000,0.000,0.000,NaN
2052,0.000,0.000,0.000,NaN
2053,0.000,0.000,0.000,NaN
2054,1.000,0.400,0.000,NaN
2055,0.000,0.000,0.000,NaN
2056,0.000,0.000,0.000,NaN
2057,1.000,0.600,0.000,NaN
2058,0.000,0.000,0.000,NaN
2059,1.000,0.200,0.000,NaN
2061,0.000,0.200,0.000,NaN
2062,0.000,0.200,0.000,NaN
2063,0.000,0.000,0.000,NaN
2064,0.000,0.400,0.000,NaN
2065,1.000,0.600,0.000,NaN
2066,1.000,0.600,0.000,NaN
2067,0.000,0.000,0.000,NaN
2068,0.000,0.000,0.000,NaN
2069,0.000,0.200,0.000,NaN
2070,1.000,0.200,0.000,NaN
2071,1.000,0.400,0.000,NaN
2072,0.000,0.000,0.000,NaN
2073,1.000,0.400,0.000,NaN
2074,1.000,0.800,0.000,NaN
2075,1.000,0.200,0.000,NaN
2076,1.000,0.400,0.000,NaN
2077,0.000,0.200,0.000,NaN
2078,0.000,0.000,0.000,NaN
2079,0.000,0.000,0.000,NaN
2080,0.000,0.400,0.000,NaN
2081,0.000,0.000,0.000,NaN
2083,1.000,0.400,0.000,NaN
2084,0.000,0.000,0.000,NaN
2085,0.000,0.000,0.000,NaN
2086,0.000,0.000,0.000,NaN
2087,0.000,0.000,0.000,NaN
2088,0.000,0.600,0.000,NaN
2089,0.000,0.600,0.000,NaN
2090,0.000,0.000,0.000,NaN
2091,1.000,1.000,0.000,NaN
2092,1.000,0.600,0.000,NaN
2093,1.000,0.200,0.000,NaN
2094,0.000,0.200,0.000,NaN
2098,1.000,0.200,0.000,NaN
2099,1.000,0.600,0.000,NaN
2100,0.000,0.200,0.000,NaN
2101,0.000,0.000,0.000,NaN
2102,0.000,0.000,0.000,NaN
2103,0.000,0.000,0.000,NaN
2104,0.000,0.200,0.000,NaN
2105,1.000,0.800,0.000,NaN
2106,1.000,0.600,0.000,NaN
2107,1.000,0.400,0.000,NaN
2109,1.000,0.200,0.000,NaN
2110,1.000,0.200,0.000,NaN
2111,1.000,0.200,0.000,NaN
2115,0.000,0.000,0.000,NaN
2116,0.000,0.000,0.000,NaN
2117,0.000,0.200,0.000,NaN
2118,0.000,0.000,0.000,NaN
2119,0.000,0.600,0.000,NaN
2120,0.000,0.200,0.000,NaN
2121,0.000,0.200,0.000,NaN
2122,0.000,0.200,0.000,NaN
2123,0.000,0.000,0.000,NaN
2124,0.000,0.000,0.000,NaN
2126,0.000,0.000,0.000,NaN
2127,1.000,0.400,0.000,NaN
2128,0.000,0.400,0.000,NaN
2129,1.000,0.800,0.000,NaN
2131,1.000,0.400,0.000,NaN
2133,1.000,1.000,0.000,NaN
2134,0.000,0.200,0.000,NaN
2135,0.000,0.000,0.000,NaN
2136,0.000,0.400,0.000,NaN
2139,0.000,0.000,0.000,NaN
2140,0.000,0.400,0.000,NaN
2141,1.000,0.200,0.000,NaN
2142,0.000,0.000,0.000,NaN
2143,0.000,0.000,0.000,NaN
2144,0.000,0.000,0.000,NaN
2145,1.000,0.400,0.000,NaN
2149,1.000,0.400,0.000,NaN
2151,0.000,0.200,0.000,NaN
2152,0.000,0.200,0.000,NaN
2153,1.000,0.200,0.000,NaN
2154,0.000,0.200,0.000,NaN
2155,0.000,0.000,0.000,NaN
2156,1.000,0.400,0.000,NaN
2157,0.000,0.000,0.000,NaN
2159,0.000,0.000,0.000,NaN
2160,0.000,0.000,0.000,NaN
2161,0.000,0.000,0.000,NaN
2162,0.000,0.000,0.000,NaN
2164,0.000,0.000,0.000,NaN
2165,0.000,0.000,0.000,NaN
2166,0.000,0.000,0.000,NaN
2167,0.000,0.000,0.000,NaN
2168,0.000,0.000,0.000,NaN
2169,1.000,0.400,0.000,NaN
2170,0.000,0.000,0.000,NaN
2171,0.000,0.400,0.000,NaN
2173,0.000,0.400,0.000,NaN
2175,1.000,0.800,0.000,NaN
2176,0.000,0.000,0.000,NaN
2178,0.000,0.200,0.000,NaN
2179,0.000,0.400,0.000,NaN
2181,0.000,0.200,0.000,NaN
2182,1.000,0.400,0.000,NaN
2184,1.000,0.800,0.000,NaN
2185,0.000,0.000,0.000,NaN
2186,1.000,0.200,0.000,NaN
2187,0.000,0.200,0.000,NaN
2188,1.000,0.400,0.000,NaN
2189,0.000,0.000,0.000,NaN
2190,1.000,0.800,0.000,NaN
2191,0.000,0.400,0.000,NaN
2192,0.000,0.400,0.000,NaN
2193,0.000,0.600,0.000,NaN
2194,0.000,0.000,0.000,NaN
2195,0.000,0.200,0.000,NaN
2196,0.000,0.400,0.000,NaN
2197,1.000,0.800,0.000,NaN
2198,1.000,0.600,0.000,NaN
2199,0.000,0.000,0.000,NaN
2200,0.000,0.000,0.000,NaN
2202,0.000,0.000,0.000,NaN
2204,0.000,0.000,0.000,NaN
2205,1.000,0.200,0.000,NaN
2206,0.000,0.000,0.000,NaN
2209,0.000,0.000,0.000,NaN
2210,1.000,0.600,0.000,NaN
2211,1.000,0.200,0.000,NaN
2212,0.000,0.000,0.000,NaN
2213,0.000,0.000,0.000,NaN
2214,0.000,0.000,0.000,NaN
2215,0.000,0.200,0.000,NaN
2216,0.000,0.200,0.000,NaN
2217,1.000,0.400,0.000,NaN
2218,1.000,0.200,0.000,NaN
2219,1.000,0.400,0.000,NaN
2220,0.000,0.000,0.000,NaN
2223,0.000,0.000,0.000,NaN
2225,0.000,0.400,0.000,NaN
2226,1.000,0.400,0.000,NaN
2227,1.000,0.400,0.000,NaN
2228,0.000,0.200,0.000,NaN
2230,1.000,0.200,0.000,NaN
2231,0.000,0.000,0.000,NaN
2232,0.000,0.000,0.000,NaN
2233,0.000,0.000,0.000,NaN
2235,1.000,0.400,0.000,NaN
2236,1.000,0.400,0.000,NaN
2237,1.000,0.200,0.000,NaN
2238,0.000,0.000,0.000,NaN
2239,1.000,0.600,0.000,NaN
2240,0.000,0.400,0.000,NaN
2241,0.000,0.400,0.000,NaN
2242,0.000,0.400,0.000,NaN
2244,0.000,0.200,0.000,NaN
2245,0.000,0.000,0.000,NaN
2246,0.000,0.000,0.000,NaN
2247,1.000,0.400,0.000,NaN
2248,1.000,0.600,0.000,NaN
2249,1.000,0.400,0.000,NaN
2251,0.000,0.000,0.000,NaN
2252,0.000,0.200,0.000,NaN
2254,0.000,0.200,0.000,NaN
2255,0.000,0.000,0.000,NaN
2257,0.000,0.200,0.000,NaN
2259,0.000,0.000,0.000,NaN
2260,1.000,0.200,0.000,NaN
2261,0.000,0.200,0.000,NaN
2262,0.000,0.000,0.000,NaN
2263,0.000,0.000,0.000,NaN
2264,1.000,0.400,0.000,NaN
2265,0.000,0.000,0.000,NaN
2266,0.000,0.000,0.000,NaN
2268,1.000,0.400,0.000,NaN
2269,0.000,0.000,0.000,NaN
2270,0.000,0.000,0.000,NaN
2271,1.000,0.400,0.000,NaN
2272,0.000,0.000,0.000,NaN
2273,1.000,0.200,0.000,NaN
2275,0.000,0.000,0.000,NaN
2276,0.000,0.000,0.000,NaN
2277,1.000,0.400,0.000,NaN
2278,0.000,0.200,0.000,NaN
2279,0.000,0.000,0.000,NaN
2280,0.000,0.400,0.000,NaN
2281,0.000,0.400,0.000,NaN
2282,1.000,1.000,0.000,NaN
2283,1.000,0.200,0.000,NaN
2284,0.000,0.200,0.000,NaN
2285,1.000,0.600,0.000,NaN
2286,1.000,0.200,0.000,NaN
2287,0.000,0.000,0.000,NaN
2288,1.000,0.400,0.000,NaN
2289,1.000,1.000,0.000,NaN
2290,0.000,0.000,0.000,NaN
2292,0.000,0.000,0.000,NaN
2293,1.000,0.200,0.000,NaN
2294,0.000,0.200,0.000,NaN
2295,0.000,0.200,0.000,NaN
2296,0.000,0.000,0.000,NaN
2297,0.000,0.000,0.000,NaN
2298,0.000,0.000,0.000,NaN
2299,0.000,0.400,0.000,NaN
2300,0.000,0.200,0.000,NaN
2301,1.000,0.800,0.000,NaN
2302,1.000,0.600,0.000,NaN
2303,0.000,0.200,0.000,NaN
2305,0.000,0.200,0.000,NaN
2306,1.000,0.400,0.000,NaN
2307,0.000,0.200,0.000,NaN
2309,0.000,0.000,0.000,NaN
2310,0.000,0.000,0.000,NaN
2311,0.000,0.000,0.000,NaN
2312,0.000,0.200,0.000,NaN
2313,0.000,0.200,0.000,NaN
2315,1.000,0.600,0.000,NaN
2316,1.000,0.600,0.000,NaN
2317,1.000,0.200,0.000,NaN
2318,0.000,0.200,0.000,NaN
2319,1.000,0.400,0.000,NaN
2320,0.000,0.000,0.000,NaN
2323,0.000,0.000,0.000,NaN
2325,0.000,0.000,0.000,NaN
2326,0.000,0.000,0.000,NaN
2328,1.000,0.400,0.000,NaN
2329,1.000,0.200,0.000,NaN
2330,0.000,0.000,0.000,NaN
2331,0.000,0.200,0.000,NaN
2333,0.000,0.000,0.000,NaN
2334,0.000,0.200,0.000,NaN
2335,0.000,0.200,0.000,NaN
2336,0.000,0.000,0.000,NaN
2337,0.000,0.000,0.000,NaN
2338,0.000,0.000,0.000,NaN
2339,0.000,0.400,0.000,NaN
2340,0.000,0.600,0.000,NaN
2341,0.000,0.200,0.000,NaN
2342,0.000,0.200,0.000,NaN
2343,0.000,0.000,0.000,NaN
2344,0.000,0.000,0.000,NaN
2347,0.000,0.200,0.000,NaN
2350,1.000,0.400,0.000,NaN
2351,0.000,0.200,0.000,NaN
2352,1.000,0.600,0.000,NaN
2353,0.000,0.000,0.000,NaN
2354,1.000,0.400,0.000,NaN
2355,1.000,0.200,0.000,NaN
2356,0.000,0.000,0.000,NaN
2357,1.000,0.400,0.000,NaN
2358,0.000,0.000,0.000,NaN
2359,1.000,0.200,0.000,NaN
2360,1.000,0.200,0.000,NaN
2361,0.000,0.000,0.000,NaN
2362,1.000,0.400,0.000,NaN
2364,1.000,0.200,0.000,NaN
2365,0.000,0.000,0.000,NaN
2367,0.000,0.000,0.000,NaN
2368,0.000,0.000,0.000,NaN
2370,1.000,0.200,0.000,NaN
2371,1.000,0.400,0.000,NaN
2374,0.000,0.200,0.000,NaN
2375,0.000,0.000,0.000,NaN
2376,0.000,0.200,0.000,NaN
2377,0.000,0.400,0.000,NaN
2378,0.000,0.400,0.000,NaN
2379,1.000,0.200,0.000,NaN
2380,0.000,0.200,0.000,NaN
2381,0.000,0.600,0.000,NaN
2382,0.000,0.200,0.000,NaN
2383,0.000,0.000,0.000,NaN
2384,0.000,0.000,0.000,NaN
2386,0.000,0.000,0.000,NaN
2387,0.000,0.400,0.000,NaN
2388,0.000,0.000,0.000,NaN
2390,0.000,0.200,0.000,NaN
2391,1.000,0.600,0.000,NaN
2392,1.000,0.800,0.000,NaN
2393,0.000,0.200,0.000,NaN
